"COUNTRY" "NUTS_ID" "YEAR" "AVG_2003_2010" "STD_ANOMALY"
"Bulgaria" "BG421" "2014" 23.9305878119926 -0.606418573203333
"Bulgaria" "BG421" "2015" 23.9305878119926 0.14593482897925
"Bulgaria" "BG421" "2016" 23.9305878119926 0.685933069601342
"Bulgaria" "BG421" "2017" 23.9305878119926 1.44785246026433
"Bulgaria" "BG421" "2018" 23.9305878119926 -0.508793117738072
"Bulgaria" "BG421" "2019" 23.9305878119926 0.408061155957872
"Croatia" "HR041" "2011" 23.0901314205007 0.0558835172224424
"Croatia" "HR041" "2012" 23.0901314205007 1.11922049630622
"Croatia" "HR041" "2013" 23.0901314205007 0.476026061875701
"Croatia" "HR041" "2014" 23.0901314205007 -0.841449305288095
"Croatia" "HR041" "2015" 23.0901314205007 1.06942940402678
"Croatia" "HR041" "2016" 23.0901314205007 -0.00376330486351541
