"COUNTRY" "NUTS_ID" "YEAR" "CASES" "AVG_2003_2010" "STD_ANOMALY" "WNV_before"
"Greece" "EL306" 2018 21 19.1984856365622 2.71099403404271 "NR"
"Greece" "EL306" 2019 0 19.1984856365622 -1.36190181212061 "1"
"Greece" "EL307" 2018 20 19.142966685044 3.70528720817667 "NR"
"Greece" "EL307" 2019 0 19.142966685044 -1.70804518523004 "1"
"Greece" "EL412" 2012 1 17.681875049141 0.288580510557957 "NR"
"Greece" "EL412" 2013 0 17.681875049141 2.32784061140873 "1"
"Greece" "EL412" 2014 0 17.681875049141 -0.485123062765546 "0"
"Greece" "EL412" 2015 0 17.681875049141 -0.0879549587751776 "0"
"Greece" "EL412" 2016 0 17.681875049141 1.19389222149896 "0"
"Greece" "EL412" 2017 0 17.681875049141 0.994247782229663 "0"
"Greece" "EL412" 2018 0 17.681875049141 3.53575732228219 "0"
"Greece" "EL412" 2019 0 17.681875049141 -1.08447958045903 "0"
"Greece" "EL433" 2017 1 18.1568951849546 0.182544354195957 "NR"
"Greece" "EL433" 2018 2 18.1568951849546 2.35476852767335 "1"
"Greece" "EL433" 2019 0 18.1568951849546 -1.39294250539061 "1"
"Greece" "EL511" 2018 2 17.4261851163321 3.43027226923707 "NR"
"Greece" "EL511" 2019 1 17.4261851163321 -0.875468789233348 "1"
"Greece" "EL513" 2014 8 17.4836299462357 -0.583916532059057 "NR"
"Greece" "EL513" 2015 0 17.4836299462357 0.233225127046472 "1"
"Greece" "EL513" 2016 0 17.4836299462357 0.894346834964051 "0"
"Greece" "EL513" 2017 0 17.4836299462357 0.690002325790551 "0"
"Greece" "EL513" 2018 0 17.4836299462357 2.94866014806994 "0"
"Greece" "EL513" 2019 5 17.4836299462357 -0.397278748427777 "0"
"Greece" "EL514" 2012 1 15.7975999797926 0.0193117005440634 "NR"
"Greece" "EL514" 2013 0 15.7975999797926 2.36263608678562 "1"
"Greece" "EL514" 2014 0 15.7975999797926 -0.414192275500297 "0"
"Greece" "EL514" 2015 0 15.7975999797926 0.332263168645376 "0"
"Greece" "EL514" 2016 0 15.7975999797926 -0.166499101598347 "0"
"Greece" "EL514" 2017 0 15.7975999797926 0.547701560137824 "0"
"Greece" "EL514" 2018 0 15.7975999797926 2.67722074295282 "0"
"Greece" "EL514" 2019 0 15.7975999797926 -1.0846182604714 "0"
"Greece" "EL515" 2012 5 17.3617850298461 0.335502847218787 "NR"
"Greece" "EL515" 2013 14 17.3617850298461 2.90686176882933 "1"
"Greece" "EL515" 2014 3 17.3617850298461 -0.38410575129252 "1"
"Greece" "EL515" 2015 0 17.3617850298461 0.023378042392988 "1"
"Greece" "EL515" 2016 0 17.3617850298461 0.509286616017402 "0"
"Greece" "EL515" 2017 0 17.3617850298461 0.58316383090457 "0"
"Greece" "EL515" 2018 0 17.3617850298461 2.86020764823226 "0"
"Greece" "EL515" 2019 17 17.3617850298461 -0.678546558458076 "0"
"Greece" "EL521" 2011 3 18.3368143314628 -1.83595607831616 "NR"
"Greece" "EL521" 2012 2 18.3368143314628 0.116900319247247 "1"
"Greece" "EL521" 2013 0 18.3368143314628 1.95059377884508 "1"
"Greece" "EL521" 2014 0 18.3368143314628 -1.3136790166662 "0"
"Greece" "EL521" 2015 0 18.3368143314628 0.028728342808638 "0"
"Greece" "EL521" 2016 0 18.3368143314628 0.0601906049908336 "0"
"Greece" "EL521" 2017 0 18.3368143314628 0.409849548077981 "0"
"Greece" "EL521" 2018 6 18.3368143314628 2.12970655319771 "0"
"Greece" "EL521" 2019 0 18.3368143314628 -0.853189724210526 "1"
"Greece" "EL522" 2011 2 18.3653377601594 -2.16815252072056 "NR"
"Greece" "EL522" 2012 3 18.3653377601594 0.444885214729781 "1"
"Greece" "EL522" 2013 5 18.3653377601594 2.17964051135016 "1"
"Greece" "EL522" 2014 0 18.3653377601594 -1.06813629512997 "1"
"Greece" "EL522" 2015 0 18.3653377601594 0.0705189322739801 "0"
"Greece" "EL522" 2016 0 18.3653377601594 0.182856342374798 "0"
"Greece" "EL522" 2017 0 18.3653377601594 0.927586089416278 "0"
"Greece" "EL522" 2018 18 18.3653377601594 2.63516729527665 "0"
"Greece" "EL522" 2019 4 18.3653377601594 -0.563578854818079 "1"
"Greece" "EL523" 2018 1 17.8622766162055 2.09062147777803 "NR"
"Greece" "EL523" 2019 0 17.8622766162055 -0.851499926292879 "1"
"Greece" "EL524" 2011 2 17.6460736792612 -1.5842841305434 "NR"
"Greece" "EL524" 2012 0 17.6460736792612 0.110896719837742 "1"
"Greece" "EL524" 2013 0 17.6460736792612 1.67292523173069 "0"
"Greece" "EL524" 2014 0 17.6460736792612 -1.63534308923673 "0"
"Greece" "EL524" 2015 0 17.6460736792612 0.0399382434546333 "0"
"Greece" "EL524" 2016 0 17.6460736792612 -0.222184453285532 "0"
"Greece" "EL524" 2017 0 17.6460736792612 0.307728791810913 "0"
"Greece" "EL524" 2018 9 17.6460736792612 1.88687964827785 "0"
"Greece" "EL524" 2019 2 17.6460736792612 -0.925671580993569 "1"
"Greece" "EL525" 2019 4 17.5437706561996 -1.55150467787382 "NR"
"Greece" "EL526" 2011 5 18.2276716954239 -2.20974878762091 "NR"
"Greece" "EL526" 2012 0 18.2276716954239 0.0785746095102482 "1"
"Greece" "EL526" 2013 7 18.2276716954239 2.02976196061497 "0"
"Greece" "EL526" 2014 0 18.2276716954239 -1.27064579230966 "1"
"Greece" "EL526" 2015 0 18.2276716954239 0.221832837393325 "0"
"Greece" "EL526" 2016 0 18.2276716954239 -0.3682130994339 "0"
"Greece" "EL526" 2017 0 18.2276716954239 1.073364930888 "0"
"Greece" "EL526" 2018 2 18.2276716954239 2.50515519792272 "0"
"Greece" "EL526" 2019 3 18.2276716954239 -0.55541168795277 "1"
"Greece" "EL527" 2011 1 17.6594179412278 -2.33524274921944 "NR"
"Greece" "EL527" 2012 1 17.6594179412278 1.01902377630654 "1"
"Greece" "EL527" 2013 0 17.6594179412278 2.52149132353571 "1"
"Greece" "EL527" 2014 0 17.6594179412278 -0.170435361347259 "0"
"Greece" "EL527" 2015 0 17.6594179412278 0.0518140086458777 "0"
"Greece" "EL527" 2016 0 17.6594179412278 0.49065875888658 "0"
"Greece" "EL527" 2017 0 17.6594179412278 0.662874452187367 "0"
"Greece" "EL527" 2018 3 17.6594179412278 2.7085400926021 "0"
"Greece" "EL527" 2019 1 17.6594179412278 -0.650612177199923 "1"
"Greece" "EL611" 2011 8 17.8385834330685 -2.19512096567321 "NR"
"Greece" "EL611" 2012 0 17.8385834330685 -0.174919226807758 "1"
"Greece" "EL611" 2013 0 17.8385834330685 2.09309473583361 "0"
"Greece" "EL611" 2014 0 17.8385834330685 -1.0473166723702 "0"
"Greece" "EL611" 2015 0 17.8385834330685 0.590296191029882 "0"
"Greece" "EL611" 2016 0 17.8385834330685 0.259605817983222 "0"
"Greece" "EL611" 2017 0 17.8385834330685 0.129575951936323 "0"
"Greece" "EL611" 2018 0 17.8385834330685 1.77897332876925 "0"
"Greece" "EL611" 2019 7 17.8385834330685 -1.66836260199693 "0"
"Greece" "EL612" 2011 8 19.0590156590825 -2.31063133424951 "NR"
"Greece" "EL612" 2012 0 19.0590156590825 -0.327505127144742 "1"
"Greece" "EL612" 2013 0 19.0590156590825 1.84059287051484 "0"
"Greece" "EL612" 2014 0 19.0590156590825 -1.1056546195293 "0"
"Greece" "EL612" 2015 0 19.0590156590825 0.142410358218846 "0"
"Greece" "EL612" 2016 0 19.0590156590825 0.131930239610988 "0"
"Greece" "EL612" 2017 0 19.0590156590825 0.0809031465460685 "0"
"Greece" "EL612" 2018 5 19.0590156590825 1.51647730169417 "0"
"Greece" "EL612" 2019 13 19.0590156590825 -1.31517526128682 "1"
"Greece" "EL622" 2013 1 17.1271906428789 1.67596192074971 "NR"
"Greece" "EL622" 2014 0 17.1271906428789 -0.54644154678349 "1"
"Greece" "EL622" 2015 0 17.1271906428789 0.147109400657285 "0"
"Greece" "EL622" 2016 0 17.1271906428789 0.158784725422343 "0"
"Greece" "EL622" 2017 0 17.1271906428789 0.219103843450716 "0"
"Greece" "EL622" 2018 0 17.1271906428789 3.03068605638252 "0"
"Greece" "EL622" 2019 0 17.1271906428789 -0.796002696101212 "0"
"Greece" "EL624" 2012 1 16.9860210176531 -0.23350697781395 "NR"
"Greece" "EL624" 2013 0 16.9860210176531 2.01357663401559 "1"
"Greece" "EL624" 2014 0 16.9860210176531 -0.786594892500346 "0"
"Greece" "EL624" 2015 0 16.9860210176531 0.200916659434899 "0"
"Greece" "EL624" 2016 0 16.9860210176531 0.417251469428578 "0"
"Greece" "EL624" 2017 0 16.9860210176531 -0.049576462254423 "0"
"Greece" "EL624" 2018 0 16.9860210176531 2.99933624740142 "0"
"Greece" "EL624" 2019 0 16.9860210176531 -1.09863211044336 "0"
"Greece" "EL631" 2011 1 17.4734056437022 -1.19754124220687 "NR"
"Greece" "EL631" 2012 1 17.4734056437022 -0.134804605641976 "1"
"Greece" "EL631" 2013 0 17.4734056437022 1.85937931621799 "1"
"Greece" "EL631" 2014 0 17.4734056437022 -1.07461010085159 "0"
"Greece" "EL631" 2015 0 17.4734056437022 0.0611205439858117 "0"
"Greece" "EL631" 2016 0 17.4734056437022 0.271295353029752 "0"
"Greece" "EL631" 2017 0 17.4734056437022 0.104428635821296 "0"
"Greece" "EL631" 2018 0 17.4734056437022 2.44434030246687 "0"
"Greece" "EL631" 2019 0 17.4734056437022 -1.14683910294765 "0"
"Greece" "EL632" 2012 2 16.9728053166831 0.180588508032205 "NR"
"Greece" "EL632" 2013 0 16.9728053166831 2.62023452829277 "1"
"Greece" "EL632" 2014 0 16.9728053166831 -1.16200682138886 "0"
"Greece" "EL632" 2015 0 16.9728053166831 0.658168979480357 "0"
"Greece" "EL632" 2016 0 16.9728053166831 1.07048919933113 "0"
"Greece" "EL632" 2017 0 16.9728053166831 0.280169178481649 "0"
"Greece" "EL632" 2018 0 16.9728053166831 2.87468180241151 "0"
"Greece" "EL632" 2019 0 16.9728053166831 -1.93217936309885 "0"
"Greece" "EL633" 2013 1 18.3083386398699 2.18931660160889 "NR"
"Greece" "EL633" 2014 0 18.3083386398699 -1.42926686330671 "1"
"Greece" "EL633" 2015 0 18.3083386398699 -0.010527919446849 "0"
"Greece" "EL633" 2016 0 18.3083386398699 0.57756087502511 "0"
"Greece" "EL633" 2017 0 18.3083386398699 0.309667185479906 "0"
"Greece" "EL633" 2018 0 18.3083386398699 2.81063218838169 "0"
"Greece" "EL633" 2019 0 18.3083386398699 -1.66875209253945 "0"
"Greece" "EL641" 2011 4 19.1231530761371 -3.75178644935807 "NR"
"Greece" "EL641" 2012 0 19.1231530761371 0.477499474951706 "1"
"Greece" "EL641" 2013 0 19.1231530761371 2.93923208956161 "0"
"Greece" "EL641" 2014 0 19.1231530761371 -0.570752757363298 "0"
"Greece" "EL641" 2015 0 19.1231530761371 0.303032841743156 "0"
"Greece" "EL641" 2016 0 19.1231530761371 1.9854451528077 "0"
"Greece" "EL641" 2017 0 19.1231530761371 0.575678242538517 "0"
"Greece" "EL641" 2018 3 19.1231530761371 2.72614438236797 "0"
"Greece" "EL641" 2019 0 19.1231530761371 -1.65064277385937 "1"
"Greece" "EL642" 2012 1 17.8506368390113 1.05473903038424 "NR"
"Greece" "EL642" 2013 0 17.8506368390113 3.13456499008334 "1"
"Greece" "EL642" 2014 0 17.8506368390113 -0.365247537761508 "0"
"Greece" "EL642" 2015 0 17.8506368390113 0.256922660365439 "0"
"Greece" "EL642" 2016 0 17.8506368390113 1.75934223604635 "0"
"Greece" "EL642" 2017 0 17.8506368390113 0.622543065521769 "0"
"Greece" "EL642" 2018 1 17.8506368390113 2.45003631143536 "0"
"Greece" "EL642" 2019 0 17.8506368390113 -0.750308078829943 "1"
"Greece" "EL651" 2017 8 17.3446113589021 0.885535829618161 "NR"
"Greece" "EL651" 2018 0 17.3446113589021 2.37172084865427 "1"
"Greece" "EL651" 2019 0 17.3446113589021 -1.85663221321546 "0"
"Greece" "EL652" 2017 1 17.9701192730583 0.797554847910349 "NR"
"Greece" "EL652" 2018 1 17.9701192730583 2.74463887153542 "1"
"Greece" "EL652" 2019 0 17.9701192730583 -2.14387194775375 "1"
"Hungary" "HU110" 2012 1 17.2320851614807 0.712666176204501 "NR"
"Hungary" "HU110" 2013 0 17.2320851614807 -0.124587655156623 "1"
"Hungary" "HU110" 2014 0 17.2320851614807 -0.189647751029336 "0"
"Hungary" "HU110" 2015 5 17.2320851614807 0.00725954961378972 "0"
"Hungary" "HU110" 2016 3 17.2320851614807 -0.398226905958023 "1"
"Hungary" "HU110" 2017 0 17.2320851614807 -0.828809223160282 "1"
"Hungary" "HU110" 2018 9 17.2320851614807 2.34484629028575 "0"
"Hungary" "HU110" 2019 1 17.2320851614807 -0.198426777998506 "1"
"Hungary" "HU120" 2011 1 16.5704188091483 0.122711932297662 "NR"
"Hungary" "HU120" 2012 0 16.5704188091483 0.785521029885154 "1"
"Hungary" "HU120" 2013 0 16.5704188091483 -0.0695644268262823 "0"
"Hungary" "HU120" 2014 0 16.5704188091483 0.0147756597528466 "0"
"Hungary" "HU120" 2015 0 16.5704188091483 -0.0983036080609929 "0"
"Hungary" "HU120" 2016 2 16.5704188091483 -0.253782877646673 "0"
"Hungary" "HU120" 2017 2 16.5704188091483 -0.999153794624661 "1"
"Hungary" "HU120" 2018 14 16.5704188091483 2.01852397150135 "1"
"Hungary" "HU120" 2019 6 16.5704188091483 -0.0388401394192084 "1"
"Hungary" "HU211" 2013 1 16.9107650366288 -0.314544503826967 "NR"
"Hungary" "HU211" 2014 0 16.9107650366288 -0.401958589221694 "1"
"Hungary" "HU211" 2015 3 16.9107650366288 -0.105533559415945 "0"
"Hungary" "HU211" 2016 1 16.9107650366288 -0.575986538599869 "1"
"Hungary" "HU211" 2017 1 16.9107650366288 -1.01121033277767 "1"
"Hungary" "HU211" 2018 9 16.9107650366288 1.89588741358666 "1"
"Hungary" "HU211" 2019 2 16.9107650366288 -0.769912288068524 "1"
"Hungary" "HU212" 2017 1 15.9256634636311 -0.812673662997062 "NR"
"Hungary" "HU212" 2018 4 15.9256634636311 2.34403236718427 "1"
"Hungary" "HU212" 2019 0 15.9256634636311 -0.644459364866437 "1"
"Hungary" "HU213" 2012 1 15.2685547652131 0.552675317282125 "NR"
"Hungary" "HU213" 2013 0 15.2685547652131 0.235025672629621 "1"
"Hungary" "HU213" 2014 0 15.2685547652131 -0.345126770420489 "0"
"Hungary" "HU213" 2015 0 15.2685547652131 0.0763145313924093 "0"
"Hungary" "HU213" 2016 1 15.2685547652131 -0.444548683960049 "0"
"Hungary" "HU213" 2017 0 15.2685547652131 -0.517092950032814 "1"
"Hungary" "HU213" 2018 8 15.2685547652131 2.02286762670334 "0"
"Hungary" "HU213" 2019 0 15.2685547652131 -1.20489704229203 "1"
"Hungary" "HU222" 2012 1 15.3202716612939 0.469146114563359 "NR"
"Hungary" "HU222" 2013 0 15.3202716612939 -0.0665966915291904 "1"
"Hungary" "HU222" 2014 0 15.3202716612939 -0.419995609688847 "0"
"Hungary" "HU222" 2015 0 15.3202716612939 0.100290925177305 "0"
"Hungary" "HU222" 2016 0 15.3202716612939 -0.769726543305088 "0"
"Hungary" "HU222" 2017 0 15.3202716612939 -0.0138972413222337 "0"
"Hungary" "HU222" 2018 0 15.3202716612939 1.57260747122584 "0"
"Hungary" "HU222" 2019 0 15.3202716612939 -1.08699086570393 "0"
"Hungary" "HU223" 2018 1 15.1956120178413 1.54175805082052 "NR"
"Hungary" "HU223" 2019 0 15.1956120178413 -0.920705964120787 "1"
"Hungary" "HU231" 2016 1 16.4642881087933 -0.566317950039398 "NR"
"Hungary" "HU231" 2017 0 16.4642881087933 -0.511465673514562 "1"
"Hungary" "HU231" 2018 0 16.4642881087933 1.76476241520682 "0"
"Hungary" "HU231" 2019 0 16.4642881087933 -1.33406200366517 "0"
"Hungary" "HU232" 2018 5 15.9504828766961 1.44375981063004 "NR"
"Hungary" "HU232" 2019 0 15.9504828766961 -1.2392295753358 "1"
"Hungary" "HU233" 2012 1 17.2562181043003 0.306894262904945 "NR"
"Hungary" "HU233" 2013 0 17.2562181043003 -0.488702201187586 "1"
"Hungary" "HU233" 2014 0 17.2562181043003 -0.410443500808878 "0"
"Hungary" "HU233" 2015 0 17.2562181043003 -0.114933797827942 "0"
"Hungary" "HU233" 2016 0 17.2562181043003 -0.47870523048966 "0"
"Hungary" "HU233" 2017 0 17.2562181043003 -1.09483612214629 "0"
"Hungary" "HU233" 2018 2 17.2562181043003 1.65230159601985 "0"
"Hungary" "HU233" 2019 0 17.2562181043003 -1.36685869696002 "1"
"Hungary" "HU311" 2018 10 15.4683538389828 2.17053098130762 "NR"
"Hungary" "HU311" 2019 0 15.4683538389828 0.372422054321551 "1"
"Hungary" "HU312" 2012 1 16.0036039756854 1.13356495441553 "NR"
"Hungary" "HU312" 2013 1 16.0036039756854 -0.0402775967674311 "1"
